representation,projection,seed,native_dim,probe_dim,backbone_select_layer,window_size,best_epoch,validation_loss,boundary_threshold,validation_boundary_event_f1_at_5,parameter_count,streaming_probe_latency_ms_per_sample,train_episode_ids,validation_episode_ids,test_episode_ids,decoder,uses_offline_viterbi,checkpoint_selection,stage_macro_f1,stage_balanced_accuracy,stage_0_precision,stage_0_recall,stage_1_precision,stage_1_recall,boundary_median_abs_error,false_boundaries_per_episode,predicted_boundaries_per_episode,no_boundary_failure_fpr,no_boundary_failure_episodes,boundary_event_f1_at_5,boundary_tp_at_5,boundary_fp_at_5,boundary_fn_at_5,boundary_event_f1_at_10,boundary_tp_at_10,boundary_fp_at_10,boundary_fn_at_10,checkpoint,history
R0_raw_state,native,17,8,8,16,16,5,0.8815395890650424,0.9,0.17391304347826086,1063171,11.089662273189973,"['bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0008', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0014', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0018', 'mug_microwave/episode_0001', 'mug_microwave/episode_0002', 'mug_microwave/episode_0003', 'mug_microwave/episode_0006', 'mug_microwave/episode_0007', 'mug_microwave/episode_0009', 'mug_microwave/episode_0011', 'mug_microwave/episode_0013', 'mug_microwave/episode_0014', 'mug_microwave/episode_0016', 'mug_microwave/episode_0017', 'mug_microwave/episode_0018', 'stove_moka/episode_0002', 'stove_moka/episode_0003', 'stove_moka/episode_0004', 'stove_moka/episode_0006', 'stove_moka/episode_0007', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0010', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0014', 'stove_moka/episode_0019']","['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0015', 'mug_microwave/episode_0000', 'mug_microwave/episode_0008', 'mug_microwave/episode_0015', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0005', 'stove_moka/episode_0015', 'stove_moka/episode_0016']","['bowl_drawer/episode_0002', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0004', 'mug_microwave/episode_0005', 'mug_microwave/episode_0010', 'mug_microwave/episode_0012', 'stove_moka/episode_0001', 'stove_moka/episode_0012', 'stove_moka/episode_0017', 'stove_moka/episode_0018']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.9899718508092892,0.9899718508092892,0.9901477832512315,0.9901477832512315,0.9897959183673469,0.9897959183673469,10.0,0.9166666666666666,1.0,nan,0,0.08333333333333333,1,11,11,0.6666666666666666,8,4,4,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__native__seed_17.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__native__seed_17.json
R0_raw_state,native,29,8,8,16,16,2,0.33315394492376416,0.95,0.08695652173913043,1063171,3.468176827580245,"['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0008', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0014', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0016', 'mug_microwave/episode_0000', 'mug_microwave/episode_0002', 'mug_microwave/episode_0004', 'mug_microwave/episode_0008', 'mug_microwave/episode_0009', 'mug_microwave/episode_0012', 'mug_microwave/episode_0013', 'mug_microwave/episode_0014', 'mug_microwave/episode_0015', 'mug_microwave/episode_0016', 'mug_microwave/episode_0017', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0002', 'stove_moka/episode_0003', 'stove_moka/episode_0006', 'stove_moka/episode_0007', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0017', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0002', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0012', 'mug_microwave/episode_0001', 'mug_microwave/episode_0005', 'mug_microwave/episode_0006', 'mug_microwave/episode_0018', 'stove_moka/episode_0001', 'stove_moka/episode_0005', 'stove_moka/episode_0015', 'stove_moka/episode_0016']","['bowl_drawer/episode_0009', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0018', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0003', 'mug_microwave/episode_0007', 'mug_microwave/episode_0010', 'mug_microwave/episode_0011', 'stove_moka/episode_0004', 'stove_moka/episode_0010', 'stove_moka/episode_0012', 'stove_moka/episode_0014']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.8598350180085976,0.8762809178881728,0.9855769230769231,0.7677902621722846,0.7578125,0.9847715736040609,12.0,0.8333333333333334,0.9166666666666666,0.0,1,0.09090909090909091,1,10,10,0.45454545454545453,5,6,6,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__native__seed_29.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__native__seed_29.json
R0_raw_state,native,41,8,8,16,16,6,0.2772753022106017,0.9,0.16666666666666666,1063171,3.665626713336678,"['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0002', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0008', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0001', 'mug_microwave/episode_0003', 'mug_microwave/episode_0004', 'mug_microwave/episode_0006', 'mug_microwave/episode_0007', 'mug_microwave/episode_0008', 'mug_microwave/episode_0009', 'mug_microwave/episode_0012', 'mug_microwave/episode_0014', 'mug_microwave/episode_0015', 'mug_microwave/episode_0017', 'mug_microwave/episode_0019', 'stove_moka/episode_0002', 'stove_moka/episode_0004', 'stove_moka/episode_0005', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0015', 'stove_moka/episode_0016', 'stove_moka/episode_0017', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0018', 'mug_microwave/episode_0005', 'mug_microwave/episode_0010', 'mug_microwave/episode_0013', 'mug_microwave/episode_0018', 'stove_moka/episode_0001', 'stove_moka/episode_0003', 'stove_moka/episode_0006', 'stove_moka/episode_0010']","['bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0014', 'mug_microwave/episode_0000', 'mug_microwave/episode_0002', 'mug_microwave/episode_0011', 'mug_microwave/episode_0016', 'stove_moka/episode_0000', 'stove_moka/episode_0007', 'stove_moka/episode_0012', 'stove_moka/episode_0014']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.8877155860747366,0.9084249084249084,1.0,0.8168498168498168,0.7797356828193832,1.0,16.0,0.9166666666666666,0.9166666666666666,0.0,1,0.0,0,11,11,0.18181818181818182,2,9,9,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__native__seed_41.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__native__seed_41.json
R0_raw_state,native,53,8,8,16,16,1,0.32467032554672987,0.95,0.0,1063171,3.5336566520726493,"['bowl_drawer/episode_0000', 'bowl_drawer/episode_0002', 'bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0000', 'mug_microwave/episode_0001', 'mug_microwave/episode_0002', 'mug_microwave/episode_0003', 'mug_microwave/episode_0004', 'mug_microwave/episode_0005', 'mug_microwave/episode_0006', 'mug_microwave/episode_0010', 'mug_microwave/episode_0011', 'mug_microwave/episode_0013', 'mug_microwave/episode_0015', 'mug_microwave/episode_0016', 'stove_moka/episode_0001', 'stove_moka/episode_0004', 'stove_moka/episode_0005', 'stove_moka/episode_0006', 'stove_moka/episode_0007', 'stove_moka/episode_0010', 'stove_moka/episode_0013', 'stove_moka/episode_0014', 'stove_moka/episode_0015', 'stove_moka/episode_0017', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0001', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0014', 'mug_microwave/episode_0008', 'mug_microwave/episode_0012', 'mug_microwave/episode_0014', 'mug_microwave/episode_0017', 'stove_moka/episode_0002', 'stove_moka/episode_0011', 'stove_moka/episode_0012', 'stove_moka/episode_0016']","['bowl_drawer/episode_0008', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0018', 'mug_microwave/episode_0007', 'mug_microwave/episode_0009', 'mug_microwave/episode_0018', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0003', 'stove_moka/episode_0008', 'stove_moka/episode_0009']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.970026828166919,0.9700460829493087,0.9951456310679612,0.9447004608294931,0.9473684210526315,0.9953917050691244,12.0,1.0,1.0,nan,0,0.0,0,12,12,0.3333333333333333,4,8,8,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__native__seed_53.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__native__seed_53.json
R0_raw_state,native,67,8,8,16,16,4,0.5728586014049047,0.95,0.0,1063171,3.7224652426211544,"['bowl_drawer/episode_0002', 'bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0018', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0000', 'mug_microwave/episode_0003', 'mug_microwave/episode_0004', 'mug_microwave/episode_0006', 'mug_microwave/episode_0009', 'mug_microwave/episode_0010', 'mug_microwave/episode_0012', 'mug_microwave/episode_0014', 'mug_microwave/episode_0016', 'mug_microwave/episode_0017', 'mug_microwave/episode_0018', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0004', 'stove_moka/episode_0005', 'stove_moka/episode_0007', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0010', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0015', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0014', 'mug_microwave/episode_0002', 'mug_microwave/episode_0005', 'mug_microwave/episode_0011', 'mug_microwave/episode_0015', 'stove_moka/episode_0003', 'stove_moka/episode_0006', 'stove_moka/episode_0014', 'stove_moka/episode_0017']","['bowl_drawer/episode_0008', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0017', 'mug_microwave/episode_0001', 'mug_microwave/episode_0007', 'mug_microwave/episode_0008', 'mug_microwave/episode_0013', 'stove_moka/episode_0001', 'stove_moka/episode_0002', 'stove_moka/episode_0012', 'stove_moka/episode_0016']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.9636872658405039,0.9655332590115199,0.9321266968325792,0.9951690821256038,0.9954545454545455,0.9358974358974359,12.5,0.9166666666666666,1.0,nan,0,0.08333333333333333,1,11,11,0.3333333333333333,4,8,8,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__native__seed_67.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__native__seed_67.json
R0_raw_state,common_256,17,8,256,16,16,6,1.3377009431650113,0.95,0.43478260869565216,1126659,3.6298971628848973,"['bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0008', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0014', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0018', 'mug_microwave/episode_0001', 'mug_microwave/episode_0002', 'mug_microwave/episode_0003', 'mug_microwave/episode_0006', 'mug_microwave/episode_0007', 'mug_microwave/episode_0009', 'mug_microwave/episode_0011', 'mug_microwave/episode_0013', 'mug_microwave/episode_0014', 'mug_microwave/episode_0016', 'mug_microwave/episode_0017', 'mug_microwave/episode_0018', 'stove_moka/episode_0002', 'stove_moka/episode_0003', 'stove_moka/episode_0004', 'stove_moka/episode_0006', 'stove_moka/episode_0007', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0010', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0014', 'stove_moka/episode_0019']","['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0015', 'mug_microwave/episode_0000', 'mug_microwave/episode_0008', 'mug_microwave/episode_0015', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0005', 'stove_moka/episode_0015', 'stove_moka/episode_0016']","['bowl_drawer/episode_0002', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0004', 'mug_microwave/episode_0005', 'mug_microwave/episode_0010', 'mug_microwave/episode_0012', 'stove_moka/episode_0001', 'stove_moka/episode_0012', 'stove_moka/episode_0017', 'stove_moka/episode_0018']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.982440257266263,0.9822308233638283,0.9711538461538461,0.9950738916256158,0.9947643979057592,0.9693877551020408,3.5,0.4166666666666667,1.0,nan,0,0.5833333333333334,7,5,5,0.8333333333333334,10,2,2,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__common_256__seed_17.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__common_256__seed_17.json
R0_raw_state,common_256,29,8,256,16,16,2,0.4785282912708464,0.9,0.08695652173913043,1126659,3.7966984159509294,"['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0008', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0014', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0016', 'mug_microwave/episode_0000', 'mug_microwave/episode_0002', 'mug_microwave/episode_0004', 'mug_microwave/episode_0008', 'mug_microwave/episode_0009', 'mug_microwave/episode_0012', 'mug_microwave/episode_0013', 'mug_microwave/episode_0014', 'mug_microwave/episode_0015', 'mug_microwave/episode_0016', 'mug_microwave/episode_0017', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0002', 'stove_moka/episode_0003', 'stove_moka/episode_0006', 'stove_moka/episode_0007', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0017', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0002', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0012', 'mug_microwave/episode_0001', 'mug_microwave/episode_0005', 'mug_microwave/episode_0006', 'mug_microwave/episode_0018', 'stove_moka/episode_0001', 'stove_moka/episode_0005', 'stove_moka/episode_0015', 'stove_moka/episode_0016']","['bowl_drawer/episode_0009', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0018', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0003', 'mug_microwave/episode_0007', 'mug_microwave/episode_0010', 'mug_microwave/episode_0011', 'stove_moka/episode_0004', 'stove_moka/episode_0010', 'stove_moka/episode_0012', 'stove_moka/episode_0014']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.8790856972675154,0.8931348504724423,0.9861751152073732,0.8014981273408239,0.7854251012145749,0.9847715736040609,14.0,0.9166666666666666,0.9166666666666666,0.0,1,0.0,0,11,11,0.18181818181818182,2,9,9,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__common_256__seed_29.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__common_256__seed_29.json
R0_raw_state,common_256,41,8,256,16,16,15,0.3049043128695384,0.95,0.17391304347826086,1126659,3.56655451999763,"['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0002', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0008', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0001', 'mug_microwave/episode_0003', 'mug_microwave/episode_0004', 'mug_microwave/episode_0006', 'mug_microwave/episode_0007', 'mug_microwave/episode_0008', 'mug_microwave/episode_0009', 'mug_microwave/episode_0012', 'mug_microwave/episode_0014', 'mug_microwave/episode_0015', 'mug_microwave/episode_0017', 'mug_microwave/episode_0019', 'stove_moka/episode_0002', 'stove_moka/episode_0004', 'stove_moka/episode_0005', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0015', 'stove_moka/episode_0016', 'stove_moka/episode_0017', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0018', 'mug_microwave/episode_0005', 'mug_microwave/episode_0010', 'mug_microwave/episode_0013', 'mug_microwave/episode_0018', 'stove_moka/episode_0001', 'stove_moka/episode_0003', 'stove_moka/episode_0006', 'stove_moka/episode_0010']","['bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0014', 'mug_microwave/episode_0000', 'mug_microwave/episode_0002', 'mug_microwave/episode_0011', 'mug_microwave/episode_0016', 'stove_moka/episode_0000', 'stove_moka/episode_0007', 'stove_moka/episode_0012', 'stove_moka/episode_0014']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.9272271523580424,0.9394052275408207,0.9918367346938776,0.8901098901098901,0.8536585365853658,0.9887005649717514,13.0,0.8333333333333334,0.9166666666666666,0.0,1,0.09090909090909091,1,10,10,0.36363636363636365,4,7,7,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__common_256__seed_41.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__common_256__seed_41.json
R0_raw_state,common_256,53,8,256,16,16,2,0.48292453434409166,0.95,0.4166666666666667,1126659,3.699795209680069,"['bowl_drawer/episode_0000', 'bowl_drawer/episode_0002', 'bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0000', 'mug_microwave/episode_0001', 'mug_microwave/episode_0002', 'mug_microwave/episode_0003', 'mug_microwave/episode_0004', 'mug_microwave/episode_0005', 'mug_microwave/episode_0006', 'mug_microwave/episode_0010', 'mug_microwave/episode_0011', 'mug_microwave/episode_0013', 'mug_microwave/episode_0015', 'mug_microwave/episode_0016', 'stove_moka/episode_0001', 'stove_moka/episode_0004', 'stove_moka/episode_0005', 'stove_moka/episode_0006', 'stove_moka/episode_0007', 'stove_moka/episode_0010', 'stove_moka/episode_0013', 'stove_moka/episode_0014', 'stove_moka/episode_0015', 'stove_moka/episode_0017', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0001', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0014', 'mug_microwave/episode_0008', 'mug_microwave/episode_0012', 'mug_microwave/episode_0014', 'mug_microwave/episode_0017', 'stove_moka/episode_0002', 'stove_moka/episode_0011', 'stove_moka/episode_0012', 'stove_moka/episode_0016']","['bowl_drawer/episode_0008', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0018', 'mug_microwave/episode_0007', 'mug_microwave/episode_0009', 'mug_microwave/episode_0018', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0003', 'stove_moka/episode_0008', 'stove_moka/episode_0009']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.9492818289988101,0.9493087557603687,0.9710144927536232,0.9262672811059908,0.9295154185022027,0.9723502304147466,9.5,0.5833333333333334,1.0,nan,0,0.4166666666666667,5,7,7,0.5,6,6,6,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__common_256__seed_53.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__common_256__seed_53.json
R0_raw_state,common_256,67,8,256,16,16,1,1.1898193236936565,0.95,0.25,1126659,3.873764866195349,"['bowl_drawer/episode_0002', 'bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0015', 'bowl_drawer/episode_0018', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0000', 'mug_microwave/episode_0003', 'mug_microwave/episode_0004', 'mug_microwave/episode_0006', 'mug_microwave/episode_0009', 'mug_microwave/episode_0010', 'mug_microwave/episode_0012', 'mug_microwave/episode_0014', 'mug_microwave/episode_0016', 'mug_microwave/episode_0017', 'mug_microwave/episode_0018', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0004', 'stove_moka/episode_0005', 'stove_moka/episode_0007', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0010', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0015', 'stove_moka/episode_0018', 'stove_moka/episode_0019']","['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0014', 'mug_microwave/episode_0002', 'mug_microwave/episode_0005', 'mug_microwave/episode_0011', 'mug_microwave/episode_0015', 'stove_moka/episode_0003', 'stove_moka/episode_0006', 'stove_moka/episode_0014', 'stove_moka/episode_0017']","['bowl_drawer/episode_0008', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0017', 'mug_microwave/episode_0001', 'mug_microwave/episode_0007', 'mug_microwave/episode_0008', 'mug_microwave/episode_0013', 'stove_moka/episode_0001', 'stove_moka/episode_0002', 'stove_moka/episode_0012', 'stove_moka/episode_0016']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.9681160917165874,0.9678558156819026,0.9707317073170731,0.961352657004831,0.9661016949152542,0.9743589743589743,10.0,0.75,1.0,nan,0,0.25,3,9,9,0.5,6,6,6,reports/transformer_streaming_native_seed17_v1/checkpoints/R0_raw_state__common_256__seed_67.pt,reports/transformer_streaming_native_seed17_v1/histories/R0_raw_state__common_256__seed_67.json
R1_action_chunk,native,17,112,112,16,16,4,0.8380932126726423,0.95,0.3333333333333333,1089795,11.967442764403598,"['bowl_drawer/episode_0003', 'bowl_drawer/episode_0004', 'bowl_drawer/episode_0005', 'bowl_drawer/episode_0006', 'bowl_drawer/episode_0007', 'bowl_drawer/episode_0008', 'bowl_drawer/episode_0009', 'bowl_drawer/episode_0012', 'bowl_drawer/episode_0014', 'bowl_drawer/episode_0016', 'bowl_drawer/episode_0017', 'bowl_drawer/episode_0018', 'mug_microwave/episode_0001', 'mug_microwave/episode_0002', 'mug_microwave/episode_0003', 'mug_microwave/episode_0006', 'mug_microwave/episode_0007', 'mug_microwave/episode_0009', 'mug_microwave/episode_0011', 'mug_microwave/episode_0013', 'mug_microwave/episode_0014', 'mug_microwave/episode_0016', 'mug_microwave/episode_0017', 'mug_microwave/episode_0018', 'stove_moka/episode_0002', 'stove_moka/episode_0003', 'stove_moka/episode_0004', 'stove_moka/episode_0006', 'stove_moka/episode_0007', 'stove_moka/episode_0008', 'stove_moka/episode_0009', 'stove_moka/episode_0010', 'stove_moka/episode_0011', 'stove_moka/episode_0013', 'stove_moka/episode_0014', 'stove_moka/episode_0019']","['bowl_drawer/episode_0000', 'bowl_drawer/episode_0001', 'bowl_drawer/episode_0013', 'bowl_drawer/episode_0015', 'mug_microwave/episode_0000', 'mug_microwave/episode_0008', 'mug_microwave/episode_0015', 'mug_microwave/episode_0019', 'stove_moka/episode_0000', 'stove_moka/episode_0005', 'stove_moka/episode_0015', 'stove_moka/episode_0016']","['bowl_drawer/episode_0002', 'bowl_drawer/episode_0010', 'bowl_drawer/episode_0011', 'bowl_drawer/episode_0019', 'mug_microwave/episode_0004', 'mug_microwave/episode_0005', 'mug_microwave/episode_0010', 'mug_microwave/episode_0012', 'stove_moka/episode_0001', 'stove_moka/episode_0012', 'stove_moka/episode_0017', 'stove_moka/episode_0018']",strict_streaming_first_rising_event,False,boundary_f1_at_5_then_10_then_stage_then_fp_then_loss,0.9824451134813734,0.9823187895847995,0.9757281553398058,0.9901477832512315,0.9896373056994818,0.9744897959183674,7.5,0.5833333333333334,1.0,nan,0,0.4166666666666667,5,7,7,0.9166666666666666,11,1,1,reports/transformer_streaming_native_seed17_v1/checkpoints/R1_action_chunk__native__seed_17.pt,reports/transformer_streaming_native_seed17_v1/histories/R1_action_chunk__native__seed_17.json
